3,24,41,73,63,4,33,29
55,20,39,51,76,58,8,71
83,2,86,66,15,99,21,50
1,21,25,68,14,74,69,74
96,99,51,24,37,27,75,47
98,23,59,58,24,34,43,3
10,60,96,57,96,32,90,96
0,62,29,30,77,45,82,63
13,78,0,35,46,33,78,1
9,60,4,58,50,63,0,62
20,83,56,41,20,40,23,75
84,19,97,15,9,49,94,24
75,63,44,6,88,54,22,50
86,81,28,51,54,62,3,35
10,16,23,58,25,5,36,19
93,82,4,70,32,64,22,23
78,31,11,18,18,20,9,26
93,33,6,88,86,63,40,98
34,11,99,50,20,68,50,60
58,45,18,97,27,94,10,39
59,60,49,7,59,84,48,70
14,45,57,45,26,31,44,95
17,53,70,62,2,51,14,85
45,9,22,5,30,54,76,11
51,87,19,92,97,50,65,23
15,8,28,22,51,35,5,34
26,59,83,27,38,63,68,50
2,94,11,74,46,78,57,30
66,26,47,46,43,84,6,70
49,78,44,20,15,29,2,96
65,51,56,48,95,57,92,51
80,35,11,38,43,83,54,84
94,95,10,35,88,86,4,5
57,48,53,80,7,79,42,23
44,56,52,17,12,5,95,9
72,34,47,1,58,62,71,28
12,5,14,87,62,84,4,30
53,19,60,6,73,15,21,40
28,11,44,15,94,7,2,61
38,75,47,39,16,94,83,49
25,23,55,39,10,66,97,35
94,43,89,28,45,56,53,51
44,41,39,15,22,0,57,16
95,75,75,55,93,62,18,49
71,4,9,44,1,36,91,22
59,25,97,83,19,32,33,21
57,67,58,42,5,12,65,54
20,89,81,66,5,59,24,97
70,0,98,50,66,73,17,78
40,77,93,62,18,76,96,27
28,44,25,48,86,19,62,1
23,3,44,29,44,60,51,13
83,48,88,80,4,72,94,93
74,33,39,66,7,83,21,59
42,89,34,65,8,69,95,62
46,18,69,27,28,85,78,82
80,13,5,59,14,63,8,47
39,85,22,72,4,0,47,69
20,31,28,28,9,36,74,92
46,17,67,31,37,98,44,57
19,54,4,28,41,43,72,42
12,2,74,35,47,37,53,26
23,26,6,42,89,24,62,83
26,60,89,97,85,57,16,36
24,69,20,99,22,31,62,80
44,40,81,72,36,38,76,34
66,36,47,52,91,35,85,34
43,24,32,95,84,14,70,36
1,77,28,45,4,99,96,68
18,4,96,80,97,62,77,26
24,9,92,21,0,82,89,10
84,47,95,99,64,92,60,81
40,40,25,90,73,99,62,15
41,17,57,92,89,18,42,85
45,68,83,68,77,21,65,88
48,14,32,79,10,59,0,52
44,28,96,44,9,16,88,11
5,86,24,68,17,90,72,90
54,56,88,91,79,94,25,70
64,98,46,67,56,0,7,25
72,71,55,78,98,40,2,68
64,2,67,85,52,67,0,1
18,16,58,97,83,53,23,36
63,40,13,86,99,84,47,94
89,40,38,55,58,89,18,26
51,82,51,17,21,14,41,10
64,91,12,76,68,61,77,18
7,64,88,99,58,56,20,0
9,30,4,63,82,47,37,55
83,24,61,88,28,55,50,64
8,47,5,67,63,35,62,94
95,61,56,18,90,52,4,89
70,66,4,20,17,74,43,19
6,12,64,2,11,36,4,75
92,18,14,94,80,18,3,20
